,Rank,City,State,2006 census,Total area (km2),Population density (/km2)
0,1,Lagos[a],Lagos,8048430,1171.3,6871
1,2,Kano[b],Kano,2828861,449.0,6300
2,3,Ibadan[c],Oyo,2559853,3080.0,831
3,4,Benin City[d],Edo,1147188,1204.0,953
4,5,Port Harcourt[e],Rivers,1005904,369.0,2726
5,6,Jos[f],Plateau,821618,1821.0,451
6,7,Ilorin[g],Kwara,777667,765.0,1016
7,8,Abuja,FCT,776298,1769.0,439'
8,9,Kaduna[h],Kaduna,760084,131.0,5802
9,10,Enugu[i],Enugu,722664,556.0,1300
10,11,Zaria[j],Kaduna,695089,563.0,1234.6
11,12,Ogbomosho[k],Oyo,602539,,
12,13,Warri[l],Delta,557398,,
13,14,Ikorodu,Lagos,535619,345.0,1553
14,15,Maiduguri,Borno,543016,137.0,3964
15,16,Aba[m],Abia,534265,72.0,7400
16,17,Bauchi,Bauchi,493810,3687.0,134
17,18,Akure,Ondo,484798,991.0,489
18,19,Abeokuta,Ogun,451607,879.0,510
19,20,Oyo[n],Oyo,428798,2427.0,177
20,21,Uyo,Akwa Ibom,427873,362.0,1182
21,22,Sokoto,Sokoto,427760,,
22,23,Owerri,Imo,401873,551.0,729
23,24,Yola,Adamawa,392854,831.0,473
24,25,Calabar,Cross River,371022,406.0,910
25,26,Ife,Osun,396508,1750.0,284
26,27,Umuahia[o],Abia,359230,385.0,933
27,28,Ondo,Ondo,358430,,
28,29,Minna[p],Niger,348788,1664.0,209
29,30,Lafia,Nasarawa,330712,,
30,31,Okene,Kogi,320260,328.0,976.4
31,32,Katsina,Katsina,318459,142.0,2243
32,-,Ikeja,Lagos,313196,49.92,6274
33,33,Nsukka,Enugu,309633,45.38,
34,34,Ado Ekiti,Ekiti,308621,293.0,1053
35,35,Awka,Anambra,301657,,
36,36,Iseyin,Oyo,286700,1820.0,
37,37,Mubi[q],Adamawa,280009,1317.0,
38,38,Onitsha[r],Anambra,261604,52.0,5030.8
39,39,Sagamu,Ogun,253412,,
40,40,Makurdi,Benue,249000,,
41,41,Mokwa,Niger,244937,4338.0,56.4
42,42,Badagry,Lagos,241093,441.0,547
43,43,Ilesa,Osun,233900,,
44,44,Gombe,Gombe,230900,,
45,45,Obafemi Owode,Ogun,228851,1410.0,162
46,46,Owo,Ondo,218886,1027.0,213
47,47,Jimeta,Adamawa,218400,,
48,48,Suleja,Niger,216578,119.0,1820
49,49,Lavun,Niger,209917,2835.0,74
50,50,Potiskum,Yobe,205876,559.0,368
51,51,Kukawa,Borno,203864,4901.0,41.6
52,52,Gusau,Zamfara,201200,,
53,53,Iwo,Osun,191377,214.0,894
54,54,Bida,Niger,188181,51.0,3689
55,55,Ugep,Cross River,187000,,
56,56,Ijebu Ode,Ogun,186700,,
57,57,Epe,Lagos,181409,965.0,188
58,58,Ise Ekiti,Ekiti,167100,,
59,59,Gboko,Benue,166400,,
60,60,Ilawe Ekiti,Ekiti,160700,,
61,61,Ikare,Ondo,160600,,
62,62,Osogbo[s],Osun,156694,47.0,3334
63,63,Okpoko,Anambra,152900,,
64,64,Garki,Jigawa,152233,1408.0,108.12
65,65,Sapele,Delta,151000,,
66,66,Ila,Osun,150700,,
67,67,Shaki,Oyo,150300,,
68,68,Ijero,Ekiti,147300,,
69,69,Ikot Ekpene,Akwa Ibom,143077,116.0,1233
70,70,Jalingo,Taraba,139845,,
71,71,Otukpo,Benue,136800,,
72,72,Okigwe,Imo,132237,,
73,73,Kisi,Oyo,130800,,
74,74,Buguma,Rivers,124200,,
75,75,Funtua,Katsina,122500,,
76,76,Abakaliki,Ebonyi,151723,,
77,77,Asaba[t],Delta,149603,268.0,558
78,78,Gbongan,Osun,117300,,
79,79,Igboho,Oyo,115000,,
80,80,Gashua,Yobe,109600,,
81,81,Bama,Borno,102800,,
82,82,Uromi,Edo,101400,,
